label,reviews
0,벨벳 옷 입어볼래
0,벨벳 옷 마음에 들어
1,어떤 벨벳 옷이 좋아
1,모헤어 옷 어때
0,모헤어 옷 입어볼래
0,모헤어 옷 마음에 들어
1,어떤 모헤어 옷이 좋아
1,플리스 옷 어때
0,플리스 옷 입어볼래
0,플리스 옷 마음에 들어
1,어떤 플리스 옷이 좋아
1,코듀로이 옷 어때
0,코듀로이 옷 입어볼래
0,코듀로이 옷 마음에 들어
1,어떤 코듀로이 옷이 좋아
1,트위드 옷 어때
0,트위드 옷 입어볼래
0,트위드 옷 마음에 들어
1,어떤 트위드 옷이 좋아
1,아노락 옷 어때
0,아노락 옷 입어볼래
0,아노락 옷 마음에 들어
1,어떤 아노락 옷이 좋아
1,캐주얼 옷 어때
0,캐주얼 옷 입어볼래
0,캐주얼 옷 마음에 들어
1,어떤 캐주얼 옷이 좋아
1,포멀 옷 어때
0,포멀 옷 입어볼래
0,포멀 옷 마음에 들어
1,어떤 포멀 옷이 좋아
1,스포츠 옷 어때
0,스포츠 옷 입어볼래
0,스포츠 옷 마음에 들어
0,어떤 스포츠 옷이 좋아
1,수영복 어때
0,수영복 입어볼래
0,수영복 마음에 들어
1,어떤 수영복이 좋아
1,등산복 어때
0,등산복 입어볼래
0,등산복 마음에 들어
1,어떤 등산복이 좋아
1,러닝복 어때
0,러닝복 입어볼래
0,러닝복 마음에 들어
1,어떤 러닝복이 좋아
1,요가복 어때
0,요가복 입어볼래
0,요가복 마음에 들어
1,어떤 요가복이 좋아
1,잠옷 어때
0,잠옷 입어볼래
0,잠옷 마음에 들어
1,어떤 잠옷이 좋아
1,외출복 어때
0,외출복 입어볼래
0,외출복 마음에 들어
1,어떤 외출복이 좋아
1,홈웨어 어때
0,홈웨어 입어볼래
0,홈웨어 마음에 들어
1,어떤 홈웨어가 좋아
1,파티복 어때
0,파티복 입어볼래
0,파티복 마음에 들어
1,어떤 파티복이 좋아
1,정장 어때
0,정장 입어볼래
0,정장 마음에 들어
1,어떤 정장이 좋아
1,교복 어때
0,교복 입어볼래
0,교복 마음에 들어
1,어떤 교복이 좋아
1,전통복 어때
0,전통복 입어볼래
0,전통복 마음에 들어
1,어떤 전통복이 좋아
1,유니폼 어때
0,유니폼 입어볼래
0,유니폼 마음에 들어
1,어떤 유니폼이 좋아
1,수트 어때
0,수트 입어볼래
0,수트 마음에 들어
1,어떤 수트가 좋아
1,운동복 어때
0,운동복 입어볼래
0,운동복 마음에 들어
1,어떤 운동복이 좋아
0,이 옷 너무 작아
0,이 옷 너무 커
0,이 옷 너무 예뻐
0,이 옷 사야 해
0,이 옷 어울려
0,이 옷 안 어울려
0,이 옷 한번 입어봐
1,이 옷 어디서 샀어
